№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
128;;Борисоглебск;Воронежская область;Центральный;60 687;1698;1779;
129;;Боровичи;Новгородская область;Северо-Западный;47 883;;1770;
130;;Боровск;Калужская область;Центральный;12 598;1358;1358;
131;;Бородино;Красноярский край;Сибирский;15 174;1949;1981;
132;;Братск;Иркутская область;Сибирский;224 071;1631;1955;
133;;Бронницы;Московская область;Центральный;21 831;1453;1781;Броничи
134;;Брянск;Брянская область;Центральный;379 152;985;985;Дебрянск
135;;Бугульма;Татарстан;Приволжский;81 677;1736;1781;
136;;Бугуруслан;Оренбургская область;Приволжский;43 593;1748;1781;
137;;Будённовск;Ставропольский край;Северо-Кавказский;58 103;1799;1799;
138;;Бузулук;Оренбургская область;Приволжский;88 341;1736;1781;
139;;Буинск;Татарстан;Приволжский;19 968;1691;1780;
140;;Буй;Костромская область;Центральный;20 564;1536;1719;
141;;Буйнакск;Дагестан;Северо-Кавказский;68 121;1834;1866;
142;;Бутурлиновка;Воронежская область;Центральный;24 397;1740;1917;
143;;Валдай;Новгородская область;Северо-Западный;14 074;;1770;
144;;Валуйки;Белгородская область;Центральный;33 032;1593;1593;
145;;Велиж;Смоленская область;Центральный;6293;1536;1776;
146;;Великие Луки;Псковская область;Северо-Западный;86 711;1166;1777;
147;;Великий Новгород;Новгородская область;Северо-Западный;224 286;;859;
148;;Великий Устюг;Вологодская область;Северо-Западный;28 670;1147;1147;Устюг
149;;Вельск;Архангельская область;Северо-Западный;21 613;1137;1780;
150;;Венёв;Тульская область;Центральный;12 668;1371;1777;
151;;Верещагино;Пермский край;Приволжский;22 239;1898;1942;
152;;Верея;Московская область;Центральный;4906;1371;1781;
153;;Верхнеуральск;Челябинская область;Уральский;8929;1734;1781;
154;;Верхний Тагил;Свердловская область;Уральский;10 113;1716;1966;
155;;Верхний Уфалей;Челябинская область;Уральский;22 981;1761;1941;Верхне-Уфалейский завод
156;;Верхняя Пышма;Свердловская область;Уральский;71 335;1854;1946;
157;;Верхняя Салда;Свердловская область;Уральский;41 034;1778;1938;
158;;Верхняя Тура;Свердловская область;Уральский;8554;1737;1941;
159;;Верхотурье;Свердловская область;Уральский;6706;1597;1598;
160;;Верхоянск;Якутия;Дальневосточный;828;1638;1817;
161;;Весьегонск;Тверская область;Центральный;6330;1564;1776;
162;;Ветлуга;Нижегородская область;Приволжский;7681;1606;1778;
163;;Видное;Московская область;Центральный;101 490;1949;1965;
164;;Вилюйск;Якутия;Дальневосточный;10 032;1634;1783;
165;;Вилючинск;Камчатский край;Дальневосточный;21 774;1968;1968;
166;;Вихоревка;Иркутская область;Сибирский;21 719;1947;1966;
167;;Вичуга;Ивановская область;Центральный;30 694;1925;1925;
168;;Владивосток;Приморский край;Дальневосточный;603 519;1860;1880;
169;;Владикавказ;Северная Осетия;Северо-Кавказский;295 830;1784;1860;
170;;Владимир;Владимирская область;Центральный;349 951;990;990;
171;;Волгоград;Волгоградская область;Южный;1 028 036;1589;1780;
172;;Волгодонск;Ростовская область;Южный;168 048;1950;1956;Волго-Донск
173;;Волгореченск;Костромская область;Центральный;14 355;1964;1994;
174;;Волжск;Марий Эл;Приволжский;53 013;;1940;
175;;Волжский;Волгоградская область;Южный;321 479;1951;1954;
176;;Вологда;Вологодская область;Северо-Западный;313 944;1147;1147;
177;;Володарск;Нижегородская область;Приволжский;9705;;1956;
178;;Волоколамск;Московская область;Центральный;26 389;1135;1135;
179;;Волосово;Ленинградская область;Северо-Западный;11 931;1870;1999;
180;;Волхов;Ленинградская область;Северо-Западный;38 511;1918;1933;
181;;Волчанск;Свердловская область;Уральский;8573;1956;1956;
182;;Вольск;Саратовская область;Приволжский;55 035;1780;1780;
183;;Воркута;Коми;Северо-Западный;56 985;1936;1943;Рудник
184;;Воронеж;Воронежская область;Центральный;1 057 681;1586;1586;
185;;Ворсма;Нижегородская область;Приволжский;10 162;1588;1955;
186;;Воскресенск;Московская область;Центральный;95 495;1862;1938;
187;;Воткинск;Удмуртия;Приволжский;97 471;1759;1935;Воткинский завод
188;;Всеволожск;Ленинградская область;Северо-Западный;79 038;1892;1963;
189;;Вуктыл;Коми;Северо-Западный;9322;1968;1984;
190;;Выборг;Ленинградская область;Северо-Западный;72 530;1293;1403;
191;;Выкса;Нижегородская область;Приволжский;45 240;;1934;
192;;Высоковск;Московская область;Центральный;13 081;1864;1940;
193;;Высоцк;Ленинградская область;Северо-Западный;1129;1532;1940;
194;;Вытегра;Вологодская область;Северо-Западный;10 386;1710;1773;
195;;Вышний Волочёк;Тверская область;Центральный;45 830;1471;1770;
196;;Вяземский;Хабаровский край;Дальневосточный;12 775;1894;1951;Вяземское
197;;Вязники;Владимирская область;Центральный;36 203;1608;1778;
198;;Вязьма;Смоленская область;Центральный;51 950;1239;1776;
199;;Вятские Поляны;Кировская область;Приволжский;29 742;1596;1942;
200;;Гаврилов Посад;Ивановская область;Центральный;5429;1434;1789;
201;;Гаврилов-Ям;Ярославская область;Центральный;16 084;1545;1938;
202;;Гагарин;Смоленская область;Центральный;26 500;1705;1776;
203;;Гаджиево;Мурманская область;Северо-Западный;9297;1957;1981;
204;;Гай;Оренбургская область;Приволжский;33 280;1959;1979;
205;;Галич;Костромская область;Центральный;12 856;1159;1237;Галич Мерьский
206;;Гатчина;Ленинградская область;Северо-Западный;94 377;1499;1796;
207;;Гвардейск;Калининградская область;Северо-Западный;14 122;1255;1722;
208;;Гдов;Псковская область;Северо-Западный;3455;;1322;
209;;Геленджик;Краснодарский край;Южный;80 204;1831;1915;
210;;Георгиевск;Ставропольский край;Северо-Кавказский;63 221;1777;1786;
211;;Глазов;Удмуртия;Приволжский;87 762;1678;1780;
212;;Голицыно;Московская область;Центральный;22 733;1872;2004;
213;;Горбатов;Нижегородская область;Приволжский;2009;;1779;
214;;Горно-Алтайск;Алтай;Сибирский;65 342;1830;1928;
215;;Горнозаводск;Пермский край;Приволжский;11 073;1947;1965;
216;;Горняк;Алтайский край;Сибирский;10 112;1942;1969;Золотуха
217;;Городец;Нижегородская область;Приволжский;28 660;1152;1922;
218;;Городище;Пензенская область;Приволжский;7796;1681;1780;
219;;Городовиковск;Калмыкия;Южный;8285;1872;1971;
220;;Гороховец;Владимирская область;Центральный;12 666;1158;1158;
221;;Горячий Ключ;Краснодарский край;Южный;40 903;1868;1965;
222;;Грайворон;Белгородская область;Центральный;6179;1678;1838;
223;;Гремячинск;Пермский край;Приволжский;8360;1941;1949;
224;;Грозный;Чечня;Северо-Кавказский;328 533;1818;1869;
225;;Грязи;Липецкая область;Центральный;43 908;1868;1938;
226;;Грязовец;Вологодская область;Северо-Западный;14 505;1538;1780;
227;;Губаха;Пермский край;Приволжский;23 397;1755;1941;
228;;Губкин;Белгородская область;Центральный;85 225;1939;1955;
229;;Губкинский;Ямало-Ненецкий АО;Уральский;33 273;1986;1996;
230;;Гудермес;Чечня;Северо-Кавказский;64 376;;1941;посёлок имени Калинина
231;;Гуково;Ростовская область;Южный;60 361;1878;1955;
232;;Гулькевичи;Краснодарский край;Южный;33 357;1875;1961;
233;;Гурьевск;Калининградская область;Северо-Западный;26 760;1262;1946;
234;;Гурьевск;Кемеровская область;Сибирский;22 134;1816;1938;
235;;Гусев;Калининградская область;Северо-Западный;29 234;;1724;
236;;Гусиноозёрск;Бурятия;Сибирский;24 451;1939;1953;
237;;Гусь-Хрустальный;Владимирская область;Центральный;51 552;1756;1931;
238;;Давлеканово;Башкортостан;Приволжский;21 834;1730-е;1942;
239;;Дагестанские Огни;Дагестан;Северо-Кавказский;31 412;1914;1914;
240;;Далматово;Курганская область;Уральский;11 584;1644;1947;
241;;Дальнегорск;Приморский край;Дальневосточный;33 655;1897;1989;
242;;Дальнереченск;Приморский край;Дальневосточный;23 613;1859;1917;
243;;Данилов;Ярославская область;Центральный;13 677;;1777;
244;;Данков;Липецкая область;Центральный;19 726;1563;1957;Донков
